Resort Name,Continent,Country,State/Province,URL,Altitude,Easy,Intermediate ,Difficult,Funicular,Circulating ropeway/gondola lift,Chairlift,T-bar lift/platter/button lift ,Sunkid Moving Carpet,Adult,Youth,Child,Currency,Ski resort size ,"Slope offering, variety of runs ",Lifts and cable cars ,Snow reliability ,Slope preparation ,"Access, on-site parking ","Orientation (trail map, information boards, sign-postings) ",Cleanliness and hygiene ,Environmentally friendly ski operation ,Friendliness of staff ,"Mountain restaurants, ski huts, gastronomy ",Après-ski ,Accommodation offering directly at the slopes and lifts ,Families and children ,Beginners ,"Advanced skiers, freeriders ",Snow parks ,Cross-country skiing and trails ,Aerial tramway/reversible ropeway,Rope tow/beginner lift,People mover,Combined installation (gondola and chair),Cog railway,Helicopter for Heli-skiing,Snow caterpillars for Cat-skiing
ackers-outdoor-activity-centre,Europe,United Kingdom,England,http://www.skiresort.info/ski-resort/ackers-outdoor-activity-centre/,120.0,0.2,0.0,0.0,,,,0.0,,30,0,25,UK Pound,1.0,1.0,1.5,,,,,,,,,,,,,,,,,,,,,,
across-shigenobu,Asia,Japan,Shikoku,http://www.skiresort.info/ski-resort/across-shigenobu/,70.0,0.1,0.0,0.0,,,,,,0,0,0,-,,,,,,,,,,,,,,,,,,,,,,,,,
adamants,North America,Canada,British Columbia,http://www.skiresort.info/ski-resort/adamants/,3100.0,,,,,,,,,0,0,0,-,,,,,,,,,,,,,,,,,,,,,,,,0.0,
adanac-ski-hill,North America,Canada,Ontario,http://www.skiresort.info/ski-resort/adanac-ski-hill/,340.0,1.3,0.6,0.1,,,,,,0,0,0,-,,,,,,,,,,,,,,,,,,,,,0.0,,,,
adatara-kogen-resort,Asia,Japan,Honshu,http://www.skiresort.info/ski-resort/adatara-kogen-resort/,1220.0,3.0,5.0,2.0,,0.0,0.0,,,0,0,0,-,2.0,2.3,3.6,,,,,,,,,,,,,,,,,,,,,,
adelbodenlenk-chuenisbaerglisillerenhahnenmoosmetsch,Europe,Switzerland,Espace Mittelland,http://www.skiresort.info/ski-resort/adelbodenlenk-chuenisbaerglisillerenhahnenmoosmetsch/,2200.0,46.0,34.0,6.0,,0.0,0.0,0.0,0.0,64,53,35,Swiss Franc,4.0,5.0,5.0,4.0,5.0,3.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,,0.0,,0.0,,,
adelharz-and-breitensteinlifts-kranzegg-rettenberg,Europe,Germany,Bavaria (Bayern),http://www.skiresort.info/ski-resort/adelharz-and-breitensteinlifts-kranzegg-rettenberg/,1295.0,6.0,4.0,0.0,,,,0.0,,19,16,13,European Euro,2.0,2.0,1.5,,,,,,,,,,,,,,,,,,,,,,
adventure-mountain-changchun,Asia,China,Jilin,http://www.skiresort.info/ski-resort/adventure-mountain-changchun/,0.0,,,,,,,,,0,0,0,-,,,,,,,,,,,,,,,,,,,,,,,,,
adzhigardak,Russia,Ural Federal District,Chelyabinsk,http://www.skiresort.info/ski-resort/adzhigardak/,1104.0,3.5,4.0,5.0,,,,,,2600,0,0,Russian ruble,,,,,,,,,,,,,,,,,,,,,,,,,
aela-maloja,Europe,Switzerland,Eastern Switzerland,http://www.skiresort.info/ski-resort/aela-maloja/,2159.0,0.5,1.5,1.0,,,,0.0,,35,30,22,Swiss Franc,1.0,3.0,1.0,3.0,2.0,2.0,1.0,3.0,3.0,3.0,2.0,1.0,1.0,3.0,2.0,3.0,1.0,5.0,,0.0,,,,,
aeschiried,Europe,Switzerland,Espace Mittelland,http://www.skiresort.info/ski-resort/aeschiried/,1400.0,10.0,2.0,0.0,,,,0.0,,33,0,23,Swiss Franc,2.2,2.2,1.5,,,,,,,,,,,,,,,,,,,,,,
afriski-mountain-resort,Africa,Lesotho,Butha-Buthe,http://www.skiresort.info/ski-resort/afriski-mountain-resort/,3222.0,0.2,0.6,1.0,,,,0.0,0.0,450,0,380,South African rand,1.0,1.0,1.0,2.0,4.0,1.0,1.0,4.0,3.0,3.0,2.0,1.0,3.0,4.0,4.0,1.0,3.0,1.0,,0.0,0.0,,,,
afton-alps,North America,USA,Minnesota,http://www.skiresort.info/ski-resort/afton-alps/,387.0,3.0,3.0,2.0,,,0.0,,,58,0,53,US Dollar,1.9,2.3,3.0,,,,,,,,,,,,,,,,,0.0,0.0,,,,
aggenhausen-mahlstetten,Europe,Germany,Baden-Wurttemberg,http://www.skiresort.info/ski-resort/aggenhausen-mahlstetten/,902.0,0.7,0.0,0.0,,,,0.0,,13,0,10,European Euro,1.2,1.0,1.5,,,,,,,,,,,,,,,,,,,,,,
agnaesbacken,Europe,Sweden,Northern Sweden (Norrland),http://www.skiresort.info/ski-resort/agnaesbacken/,260.0,3.0,2.5,1.5,,,,,,210,0,160,Swedish krona,,,,,,,,,,,,,,,,,,,,,,,,,
agrafa-karamanoli,Europe,Greece,Western Greece,http://www.skiresort.info/ski-resort/agrafa-karamanoli/,1550.0,0.3,0.0,0.0,,,,0.0,,0,0,0,-,1.1,1.0,1.5,,,,,,,,,,,,,,,,,,,,,,
agriolefkes-pelion,Europe,Greece,Thessaly,http://www.skiresort.info/ski-resort/agriolefkes-pelion/,1471.0,0.3,2.5,0.2,,,0.0,0.0,,11,0,0,European Euro,1.5,1.7,2.9,,,,,,,,,,,,,,,,,0.0,,,,,
ahal-ashgabat,Asia,Turkmenistan,,http://www.skiresort.info/ski-resort/ahal-ashgabat/,0.0,,,,,,,,,0,0,0,-,,,,,,,,,,,,,,,,,,,,,,,,,
ahlat-serinbayir-bitlis,Asia,Turkey,,http://www.skiresort.info/ski-resort/ahlat-serinbayir-bitlis/,0.0,0.6,0.0,0.0,,,,,,0,0,0,-,,,,,,,,,,,,,,,,,,,,,,,,,
aichelberglifts-karlstift-bad-grosspertholz,Europe,Austria,Lower Austria (Niederosterreich),http://www.skiresort.info/ski-resort/aichelberglifts-karlstift-bad-grosspertholz/,1050.0,4.0,2.0,1.0,,,,0.0,,22.50,0,17,European Euro,1.9,2.2,1.5,,,,,,,,,,,,,,,,,,,,,,
aiguille-du-midi-chamonix,Europe,France,Auvergne-Rhone-Alpes,http://www.skiresort.info/ski-resort/aiguille-du-midi-chamonix/,3842.0,,,,,0.0,,,,60,0,51,European Euro,1.3,1.0,2.3,,,,,,,,,,,,,,,,0.0,,,,0.0,,
aiguilles,Europe,France,Provence-Alpes-Cote d'Azur,http://www.skiresort.info/ski-resort/aiguilles/,1619.0,2.0,0.5,0.5,,,,0.0,,26.60,0,21.80,European Euro,1.5,1.8,1.5,,,,,,,,,,,,,,,,,0.0,,,,,
aillon-le-jeune,Europe,France,Auvergne-Rhone-Alpes,http://www.skiresort.info/ski-resort/aillon-le-jeune/,1541.0,10.0,4.0,2.0,,,0.0,0.0,,19,0,17,European Euro,2.4,2.7,2.5,,,,,,,,,,,,,,,,,,,,,,
aillons-margeriaz,Europe,France,Auvergne-Rhone-Alpes,http://www.skiresort.info/ski-resort/aillons-margeriaz/,1785.0,18.2,4.0,1.8,,,0.0,0.0,,19,0,17,European Euro,2.5,2.7,2.7,,,,,,,,,,,,,,,,,,,,,,
aizu-bange-choei,Asia,Japan,Honshu,http://www.skiresort.info/ski-resort/aizu-bange-choei/,340.0,0.6,0.4,0.0,,,0.0,,,0,0,0,-,1.3,1.3,3.0,,,,,,,,,,,,,,,,,,,,,,
aizu-kogen-daikurayama,Asia,Japan,Honshu,http://www.skiresort.info/ski-resort/aizu-kogen-daikurayama/,1200.0,4.0,6.0,1.0,,,0.0,,,4000,3500,2500,Japanese Yen,2.1,2.3,4.0,,,,,,,,,,,,,,,,,,,,,,
aizu-kogen-nango,Asia,Japan,Honshu,http://www.skiresort.info/ski-resort/aizu-kogen-nango/,1000.0,3.0,5.0,2.0,,,0.0,,,4000,0,2500,Japanese Yen,2.0,2.3,3.0,,,,,,,,,,,,,,,,,,,,,,
aizu-kogen-takahata,Asia,Japan,Honshu,http://www.skiresort.info/ski-resort/aizu-kogen-takahata/,1240.0,2.0,5.0,3.0,,,,,,4000,0,2400,Japanese Yen,,,,,,,,,,,,,,,,,,,,,,,,,
aizu-kogen-takatsue,Asia,Japan,Honshu,http://www.skiresort.info/ski-resort/aizu-kogen-takatsue/,1650.0,6.0,8.0,6.0,,,0.0,,,4200,0,3200,Japanese Yen,2.5,2.9,3.0,,,,,,,,,,,,,,,,,,,,,,
ak-bulak-talgar,Asia,Kazakhstan,Almaty,http://www.skiresort.info/ski-resort/ak-bulak-talgar/,2700.0,4.0,3.0,3.0,,0.0,0.0,0.0,,0,0,0,-,2.2,2.6,3.6,,,,,,,,,,,,,,,,,,,,,,
ak-tash-oruu-sai,Asia,Kyrgyzstan,Chuy,http://www.skiresort.info/ski-resort/ak-tash-oruu-sai/,2500.0,2.0,2.0,1.0,,,0.0,0.0,,0,0,0,-,1.7,2.0,2.6,,,,,,,,,,,,,,,,,,,,,,
akabane,Asia,Japan,Honshu,http://www.skiresort.info/ski-resort/akabane/,620.0,2.0,1.0,0.0,,,,,,0,0,0,-,,,,,,,,,,,,,,,,,,,,,,,,,
akabirayama,Asia,Japan,Hokkaido,http://www.skiresort.info/ski-resort/akabirayama/,369.0,1.0,2.0,1.0,,,,,,2400,0,0,Japanese Yen,,,,,,,,,,,,,,,,,,,,,,,,,
akagiyama,Asia,Japan,Honshu,http://www.skiresort.info/ski-resort/akagiyama/,1376.0,0.1,0.0,0.0,,,,,,800,0,0,Japanese Yen,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,0.0,,,,
